default_audio,arabe,latin
sound_0.wav,"خويا دبر لينا كيفاش نسجلو من التلفاز لكمبيوتر","khouya deber lina kifach nsejlou men tilfaz lcomputer",
sound_1.wav,"خويا دير لينا كيفاش نسجلو من التلفاز للكمبيوتر","khouya dir lina kifach nsejlou men tilfaz lcomputer",
sound_2.wav,"شكون لي كيتفرج و داير الشوفة ديال المحقق كونان يخبط جيم","chkoun li kaytferej w dayr choufa dyal lmo7a9i9 conan yekhbet j'aime",
sound_3.wav,"أرا واحد القرعة د الماء أ أخي الله يرحم باك","ara wa7ed l9r3a dlma a akhi layrham bak",
sound_4.wav,"شكرا على كلامك الزوين ،top","top, chokran 3la klamek zwin",
sound_5.wav,"نسكت على بحال هاد الناس","nsskot 3la b7al had nass",
sound_6.wav,"كون غير أجلو الماتش حتال العشرة ديال الليل","koun ghir ejlo lmatch 7tal l3chra dyal lil",
sound_7.wav,"واش هاد النوع من الديسير خاصو يتكال فالنهار أولا يصبر فالثلاجة","wach had naw3 men dessert khassou ytkal fnhar awla yssbr f telaja",
sound_8.wav,"مغاديش نمشي للتيران، غنمشي للدار من بعد","maghadich nmchi lterrain, ghanmchi ldar men be3d",
sound_9.wav,"بغيت ناخد كريدي ديال الدار","bghit nakhed credit dyal dar",
sound_10.wav,"آش هادا ممم هههه","ach hada mmm hhhh",
sound_11.wav,"،bravo فنان بمعنى الكلمة كيتش متطور بزاف ومختلف عن الكل بالتوفيق","fenan bima3na lkalima, bravo sketch motatawir bzaf w mokhtalif 3an alkol bitawfi9",
sound_12.wav,"رزقك را كتخدم عليه، ماشي كتسنا يجيك","rez9ek ra katkhdem elih, machi katssena yjik",
sound_13.wav,"براهش، خصكوم تديوها فقرايتكم هي الأولى","brahech, khasskoum tdiwha f 9raytkoum hiya lwla",
sound_14.wav,"أكتر حاجة كتعجبني هو داك الحب الأخوي","aktar 7aja kat3jebni houwa dak l7oub l akhawi",
sound_15.wav,"مبغيت نعرف واحد الحاجة","mabghit n3ref wa7ed L7aja",
sound_16.wav,"الجزء 2 من فضلك و شكرا","ljoz2 2 men fadlek wa chokran",
sound_17.wav,"كنحس بحالا كنعرفك شحال هادي","kan7ess b7ala kan3erfek ch7al hadi",
sound_18.wav,"مسخوط عندو شي نوطات واعر","msskhout 3endo chi noutat wa3er",
sound_19.wav,"واش نقدر نشريه من المغرب ؟ ممم","wach n9der nchrih men lmghrib ? mmm",
sound_20.wav,"ماغاديش نمشي للتيران غنمشي للدار من بعد","maghadich nmchi lterrain ghanmchi ldar men be3d",
sound_21.wav,"علاش لكدوب ؟ هادي ديال المغاربة كاملين","3lach lkdoub ? hadi dyal lmgharba kamlin",
sound_22.wav,"تبارك الله عليك ! راك واعر و زوين","tbarkelah 3lik ! rak wa3er o zwin",
sound_23.wav,"فينما تنقلب، تنلقا واحد ناعس فآسفي","finma tan9lb, tanl9a wa7ed na3ess f Safi",
sound_24.wav,"أنا بغيت نتزوج هاد الرجل ونقابلو، ممكن نتواصل معاه ؟","ana bghit ntzwj had rajl w n9ablou, momkin ntwassel m3ah ?",
sound_25.wav,"قليل لي غيعقل على هاد الطراك","9lil li ghay39el 3la had track",
sound_26.wav,"حتا أنا نظن ميطيبوش حيت سبقلي جربت هاكدا البطاطس في آلة البانيني، لكن للأسف مطابتش","7ta ana nden maytibouch 7it sb9li jerebt hakda lbatatiss f 2alat panini, lakin lil assaf matabetch",
sound_27.wav,"واش نقدر نشريه من المغرب ؟","wach n9der nchrih men lmghrib ?",
sound_28.wav,"هضرتو بزاف، ولكن حاجة وحدة ما قلتوه فيها الفائدة","hdertou bzaf, walakin 7aja w7da ma gltou fiha fayda",
sound_29.wav,"إلا كثير الإنتاج، طيحو الثمن. فين كاين المشكل ؟","ila ktir l intaj, tiy7o taman. Fin kayn lmouchkil ?",
sound_30.wav,"حتى الپيلوط واعر. الصراحة، أي شخصية كيتقنها !","7ta l pilote wa3er. Sara7a, ayi chakhssiya kayt9nha !",
sound_31.wav,"ماغاديش نمشي للتيران غنمشي للدار من بعد","maghadich nmchi lterrain ghanmchi ldar men be3d",
sound_32.wav,"Guardiola هاد صاحبي لي يسمع هضرتو يقول","had sa7bi li ysme3 hdertou ygoul Guardiola",
sound_33.wav,"شكرا على كلامك الزوين ،top","top, chokran 3la klamek zwin",
sound_34.wav,"الحسوني أحسن لاعب فالبطولة. مستواه هرب بزاف على اللعابة تاع البطولة","El Hassouni a7ssan la3ab flboutoula. Mousstawah hreb bezaf 3la le3aba ta3 lboutoula",
sound_35.wav,"مبغيت نعرف حتا حاجة !","mabghit n3ref 7ta 7aja !",
sound_36.wav,"واش ممكن المنتخب، ممكن شي نهار تكون عندو بحال هاد الروح و القتالية ؟","wach momkin lmontakhab, momkin chi nhar tkoun 3endou b7al had rou7 w l9italiya ?",
sound_37.wav,"شكون لي كيتفرج و داير الشوفة ديال المحقق كونان يخبط جيم","chkoun li kaytferej w dayr choufa dyal lmo7a9i9 conan yekhbet j'aime",
sound_38.wav,"طريق برشيد سطات، و طريق سطات كاملة ونواحيها ڭاع واعرة وخطر","tri9 berrechid settat, w tri9 settat kamla w nawa7iha ga3 wa3ra w khatar",
sound_39.wav,"ما عنديش الفلوس","ma3endich lflouss",
sound_40.wav,"بهاد المشاكل ديالكم","bhad lmachakil dyalkom",
sound_41.wav,"كنحس بحالا كنعرفك شحال هادي","kan7ess b7ala kan3erfek ch7al hadi",
sound_42.wav,"الحسوني، أحسن لاعب فالبطولة. مستواه هرب بزاف على اللعابة تاع البطولة","El Hassouni, a7ssan la3ab flboutoula. Mousstawah hreb bezaf 3la le3aba ta3 lboutoula",
sound_43.wav,"خوتي المغاربة دعيو معايا ربي يكمل زواجي بخير please","please khouti lmgharba d3iw m3aya rebi ykemel zwaji bkhir",
