audio,text
audio1.webm,"ⵉⵙ ⵜⵙⵙⵏⵜ ⵏⴽⴽⵉ ⵎⴰⵎⵎⵉ ⵜⵄⵊⵊⴰⴱⵖ, ⴰⵔ ⵜⵄⵊⵊⴰⴱⵖ ⵖⴰⵔ ⵉ ⵡⵡⵉⴷ ⵍⵍⵉ ⴷ ⵉⴼⴼⵉⵏ ⵍⵃⵍⵍⵓⴼ ⵖ ⵜⵎⴰⵣⵉⵔⵜ ⵎⴰ ⴳⴳⵉⵙ ⵃⵓⴱⴱⴰⵏ, ⵍⵃⵔⴰⵎ ⴰⵏ ⵓⵔ ⴳⵉⵙ ⴽⵔⴰ ⵍⵉⵃⵜⵉⵔⴰⵎ ⴰⵢⵏⵏⴰ ⵢⵓⴼⴰ ⵢⴰⴷⵔⵜ,ⵓⵔ ⵜⴳⴰ ⵜⵉⴼⵉⵢⵢⵉⵏⵙ ⵉ ⵜⵉⵔⵎⵜ ⴰⵛⴽⵓ ⵜⵃⵔⵎ, ⵡⴰ ⵃⵜⵜⴰ ⴰⴼⵓⵍⴽⵉ ⵄⵔ ⴳⵉⵙ ⵉⵍⵍⴰ ⵖⵉⴽⴰⴷ ⵉⵅⵛⵏ ⵓⵖⵏⴱⵓⵏⵙ, ⵀⴰⵀⴰⵀⴰⵀⴰ, ⴰⵡⵉⵍⵓⵓ ⴰⵏⵏⵉⵖ ⵎⴰ ⵔⴰ ⵜⵏⵏⴰ "
audio2.webm,"ⵉⵏⵏⴰ, ⵎⴰ ⴷ ⴰⵎ ⵉⵜⵜⵉⵏⵉ ⴱⴰⴱⴰ? ⴱⴰⴱⴰⵎ ⴰ ⵉⵍⵍⵉ ⵉⵡⴰ ⴰⴽⵎ ⵉⴼ ⵓⴳⴷⵉ. ⵄⵍⴰⵛ? ⵉⵏⵏⴰ ⴰⵎ ⵉⵔⴰ ⴰⴽⵎ ⵉⴼ ⵉ ⵢⵓⴼⵜⵏ. ⵓⵀⵓ ⴰ ⵉⵏⵏⴰ, ⵏⴽⴽⵉ ⵓⵔ ⵔⵉⵖ ⵢⵓⴼⵜⵏ! "
audio3.webm,"ⵉⵙ ⵜⵙⵏⵜ ⴰ ⵅⴰⵍⵉ ⵉⵙ ⵔⴰⵏⵏⴰⵛⴽⵉⵏ ⴽⵔⴰ ⵉⵎⵙⵉⴳⴳⵉⵍⵏ ⴰⵢⵢⵉ ⵙⵉⴳⴳⵉⵍⵏ? ⴰⵀ ⵀⵉⵢⵢⴰ ⵔⴰⴷ ⵙⵉⴳⴳⵉⵍⵏ ⴱⵉⵊⵊⵓ ⵉ ⵜⴱⵉⵊⵊⵓⵜ! ⴰⵎⵎ .ⵊⴷⴷⴰ , ⴽⴼⵉⵢⵢⵉ ⵉⵎⵉⴽ ⵏ ⵜⴰⵣⵓⵍⵜ ⵀⴰⵜⵉ ⵔⴰ ⵖ ⵢⴰⵛⴽⵉ ⴽⵔⴰ ⵉⵎⵙⵉⴳⴳⵉⵍⵏ ⴰⵢⵢⵉ ⵙⵉⴳⴳⵍⵏ. ⴱⵉⵙⵎⵉⵍⵍⴰⵀ ⵏⴽ ⴰ ⵉⵡⵉ ⵢⴰⴽ ⵓⵔ ⴷⵉⵙ ⴰⵔ ⵜⵊⵉⵡⵊⵉⵡⵜ?"
audio4.webm,"ⵉⵏⵉⵢⵢⵉ ⵖⴰⵔ ⵎⴰ ⴷ ⴷⴰ ⵜⵎⵛⴰⵡⴰⵔⵜ? ⵎⵣⵢⴰⵏ ⵜⴱⴰⵔⴽⵍⵍⴰⵀ . ⵉⵣⴷ ⵏⴽⴽⵉ ⵖⵉⵍⴰⴷ ⵉⵙ ⴰⴷ ⵛⴰⴷⵔ? ⵛⴰⴷⵖ ⴰⵡⵏ ⴷ? ⴱⴰⵅ ⴰⴷ ⵉⵢⵢⵉ ⵜⵄⴰⵔⴰⴷⵎ ⵉ ⵓⵛⵉⴱⴰⵏ? ⴰⴷ ⴽⴽⴰⵖ ⴰⵔ ⵜⵉⴳⵉⵔ ⵏ ⵓⵙⵙⴰⵏ ⵉⵏⵓ ⵉⵜⴰⵀⵍⵉⵢⵢⵉ ⵓⵛⵉⴱⴰⵏ! ⴰⵡⴰ ⵏⴼⵓⵍⴽⵉ ! ⴰⵡⴰ ⵎⴰ ⵔⴰ ⴷ ⴰⵎ ⵏⵏⵉⵖ ⴰ ⵉⵍⵍⵉ? ⵀⴰⵏ ⵏⴽⴽⵉ ⵓⵔ ⴼⵍⵍⴰ ⵉⵍⵍⴰ ⵡⴰⵍⵓ. ⵀⴰⵏ ⴱⴰⴱⴰⵎ ⴰ ⴽⵓⵍⵍⵓ ⵉⵙⴽⵔⵏ ⵖⴰⵢⴰ. ⵉⵏⵏⴰⵎ ⵉⴳⴰ ⴰⵎⴷⴷⴰⴽⵍ ⵏⵙ, ⵉⵜⵜⴰⴼ ⵜⵉⴳⵎⵎⵉ ⵏⵙ, ⵉⵜⵜⴰⴼ ⴰⵢⴷⴰⵏ ⵏⵙ, ⵄⵍⴰ ⴽⵎⵎⵉ ⴰⵢⵍⵍⵉ.."  
audio5.webm,"ⴰⵣⵓⵍ ⴰ ⵍⵊⵎⴰⵄⵜ.ⴰⵣⵓⵍ ⴰ ⴰⵎⵖⴰⵔ.ⵎⴰⵏⵣⴰⴽⵉⵏ ⴰ ⵍⵃⴰⵊ? ⴰⵏⵏⴰⵖ ⵓⵔ ⵉⴳⴰ ⵙⴽⴽⴰⵔ, ⵢⴰⵜ ⵖ ⵉⵖⵍⵉ ⵢⴰⵜ ⵖ ⵉⴳⴳⵉⵣ. ⵓⵔ ⵙⵓⵍ ⵢⴰⵎⵣ ⴰⵙⴳⴰ ⴰⴷ ⵓⵍⴰ ⵖⵡⴰ ⴷ...ⵜⴼⵓⵓⵓ!"
audio6.webm,"ⵉⵣⴷ ⵓⵔ ⵜⴽⵙⵓⴷⵜ ⵙ ⵉⵏⵏⴰⴽ? ⵉⵏⵏⴰⵓⵔ ⵙⵉⵙ ⴽⵙⵓⴷⵖ, ⵉⵏⵏⴰⵙ ⵜⵙⵜⵀⵏⵏⴰⵢⵢⵉ ⵖ ⵓⴳⴰⵢⵢⵓⵏⵙ. ⴰⵡⴰ ⵙⵎⵎⵉⴷⵏ ⵉⴷⴰⵎⵏⴽ ⴰⵡⴷⴷⴰ ⵃⵎⵎⵓ. ⵙⵎⵎⵉⴷⵏ ⵉⴷⴰⵎⵏⵉⵏⵓ? ⵉⵡⴰ ⵀⴰⵇⵇⴰⵏ ⵄⵔ ⴰⵃⴱⴱⵓ ⵄⵙⵙⴰⵏⴰ.ⵎⴰⴷⴰⵎⵜ ⵉⵏⵏⴰⵙ ?ⵙⴼ ⵄⵔⴰⴽ ⵙⵓⵍ ⵏⵏⵉⵃ ⵢⴰⵜ.ⵙⵍⵍⴰⵢⵉ ⴰⴷⴰⵎ ⵉⵏⵉⵖ, ⵀⴰⵏ ⴰⴷⵓⵔ ⵜⴳⵜ ⵖⴰⵢⵍⵍⵉ ⵜⵖⵢⵢⴰⵄ ⵎⵉⴷⵏ ⵖ ⵓⴳⴰⵢⵢⵓⵏⵎ.ⵎⴰⵅ ⵎⴰⵜⵖⵢⵢⴰⵔⵏ ⵎⴷⵏ? ⵍⴱⴰⴽⵓⵔ ⵓ ⵍⴱⴰⴽⵓⵔ, ⵀⴰⵜⵉ ⵙⵏⵖ ⵎⴰⴼ ⴰⵜⵙⴰⵇⵙⴰⵜ, ⵉⵜⵜⵉⵏ ⴳⵉⴳⵉ. ⵏⴽⴽⵉ ⵀⴰⵜⵉ ⵔⴰ ⴷ ⴼⵜⵓⵃ, ⵀⴰⵏ ⵉⵙⴷ ⵀⵍⵍⵉ ⵓⵛⴽⵉⵖ ⴰⴷⴰⴽ ⵏⵏⵉⵖ ⵀⴰⵏ ⵅⵜⵉⵏ ⵎⵎⴰⵖⵏⵜ. ⴰⵡⴰ ⵣⴰⵢⴷ ⵉⵏⵉⵜⵉⵏ ⵉ ⵓⵎⵖⴰⵔ.ⵣⴰⵢⴷ ⵉⵏⵉⵜⵉⵏ ⵉ ⵓⵎⵖⴰⵔ ⵀⴰⵏ ⵉⵖ ⵎⴰⵖⵏ ⵎⵉⴷⵏ ⴰⵔ ⴼⵜⵜⵓⵏ ⴷⴰⵔ ⵓⵎⵖⴰⵔ ⵄⵔ ⴰⴼⵜⵜⵓⵏ ⴷⴰⵔ ⵃⵎⵎⵓ."
audio7.webm,"ⴰⵀⵢⴰⵜⴰⵡⵉ, ⵎⴰⵢⴳⴰ ⵖⵓⵡⴰⵏ ⵍⵍⵉ ⵉⵡⵉⵏ ⵉⴷⴳⴰⵎ ⵉⴽⵛⵛⵓⴷⵏ ⵙ ⵜⵎⵣⴳⵉⴷⴰ? ⵉⵡⵉⵜⵏ ⵙⵔⵙ ⵢⴰⵏ ⵍⵎⵓⵃⵙⵉⵏ.ⵎⴰⵢⴳⴰ ⵍⵎⵄⵃⵙⵉⵏ ⴰⴷ? ⴰⵢⵇⴱⵍ ⵔⴱⴱⵉ ⵍⴰⵊⵔ ⵏⵙ. ⵡⴰ ⴼⵓⵔⵉⵙⵜⵉ, ⵀⴰⵜⵉ ⵜⴰⴳⴰⵏⵜ ⵜⵉⵏ ⵍⵊⵎⴰⵄⵜ ⴰⵜⴳⴰ, ⵜⵉⵡⵉⵜ ⴽⵓⵍⵍⵓ ⴰⵢⴷⴰ ⵏ ⵄⵉⴱⴰⴷ ⵍⵍⴰⵀ, ⵜⵙⴽⵔⵜ ⴳⵉⵙ ⵜⴰⴳⴰⵏⵜ ⴰⵔⴰⵙ ⵜⵜⵉⵏⵉⵜ ⵡⵉⵏⵓ? ⵉⵣⴷ ⴽⵓⵍⵍⵓ ⵖⵉⵏ ⵎⵉ ⵙⵙⵓⵜⵍ ⵉⵣⵔⴰⵏ ⴰⵏ ⵓⵎⵍⵉⵍⵏ ⴰⵔⴰⵙ ⵉⵜⵜⵉⵏⵉ ⵡⵉⵏⵙ? ⵢⴰⵀ, ⴽⵓⵍⵍⵓ ⵖⵉⵏ ⴰⵔⴰⵙ ⵉⵜⵜⵉⵏⵉ ⵡⵉⵏⵓ. ⴰⵡⴰ ⴰ ⵎⵙⴽⵉⵏⴻ ⵉⵙ ⴽⴰ ⵓⵔⵜⵏⵏⵉⵜ ⵉ ⴰⵢⵜ ⵜⵎⴰⵣⵉⵔⵜ ⴰⵙⵜ ⴼⵓⵖⵏ! ⵜⴰⵡⵉⵜⵙⵜ ⴰⵔ ⴳⵉⵙ ⵜⵜⴰⵣⴰⵍⵜ ⴽⵉⵢⵢⵉ ⴷ ⵍⵃⵍⵍⵓⴼ. ⴰⵀⵢⴰⵜⴰⵡⵉ, ⵣⵔⵉⵖ ⴽⵔⴰ ⵖ ⴰⵙ ⴰⴷ, ⵓⵔ ⵊⵊⵓ ⵎⴰ ⴷ ⵏⴽⴽⵉⵏ ⴰⵜ ⵉⵣⵔⴰⵏ ⵖ ⵍⵃⴰⵢⴰⵜ ⵉⵏⵓ, ⵡⴰⵀ ⵓⴳⴳⴰⵔ ⵏ ⵖⴰⵢⴰⴷ ⵏⵣⵔⴰ ⵏⴽⵏⵉ? ⵎⴰ ⵜⵣⵔⴰⵎ ⵀⵜⵜⴰ ⴽⵏⵏⵉ? ⴼⵓⵔⵉⵙⵜⵢⵉ ⴰⴷ ⵏⵉⵜ, ⵉⵡⵉ ⴽⵓⵍⵍⵓ ⴰⴽⴰⵍ ⵏ ⵄⵉⴱⴰⴷ ⵍⵍⴰⵀ ⴰⵔ ⴰⵙ ⵉⵜⵜⵉⵏⵉ ⵡⵉⵏⵙ.ⴰⵀⵢⴰ,ⵉⵙ ⵜⴳⴳⴰⵎⵎⵉⵜ ⵊⵊⵓ ⴽⵉⵢⵢⵉ ⴰ ⵜⵃⵛⵛⵎⵜ? ⴽⵏⵏⵉ ⴱⵄⴷⴰ ⵉⴷⴳⴰⵎ ⴽⴰ ⴷ ⵜⵓⵛⴽⴰⵎ ⴰⵔ ⵜⵙⵉⴳⴳⵉⵍⵎ ⴰ ⵜ ⵙⴰⵡⴰⵍⵎ ? ⵙⵍ ⴰⵡⴰ ⵙⵍ! ⵉⵏⵏⴰⵢ ⴰⴽ ⵉⴷⴳⴰⵎ ⴽⴰ ⴷ ⵏⵓⵛⴽⴰ ⴰⵔ ⵏⵙⴰⵡⴰⵍ! ⵉⵖⵣⴰⵏ! ⴰⵛⴽⵓ ⵏⴽⵏⵉ ⴰⴷⴰⴽ ⵜⵜⵉ ⴼⵍⵏ ⵜⵙⴰⵍⴰⵜ ⴳⵉⵙ ⵜⴰⵔⴰⵄⴰⵢⵜ. ⵏⴽⴽⵉ ⵓⵔ ⴰ ⴷⴷⵉⵜⵓⵏ ⵊⵎⵄⴰⵖ ⵖⵉⵍⴰ , ⴰⴷ ⵣⵓⵡⴰⵔ ⴰⵡⵉⵖ ⵍⴰⵅⴱⴰⵔ ⵉ ⵖⵓⵡⴰⵏ ⵍⵍⵉ ⴷ ⵉⵡⵉⵏ ⵉⴽⵛⵛⵓⴷⵏ ⵉⴷⴳⴰⵎ ⵙ ⵜⵎⵣⴳⵉⴷⴰ ⵄⴰⴷ ⴰ ⵏⵊⵎⵄⴰ."
audio8.webm,"ⴰⵡⴰ ⴰ ⵙⵙⵉ ⵍⵄⴰⴷⵍ ⴰⴱⵔⵉⴷ ⵏ ⵙⵍⴰⵎⵜ, ⵎⴰⵏⵉⵖ ⵏ ⵜⴼⵍⵜ ⵍⵃⴷⵉⴷ ⵏⴽ? ⵍⵄⴷⵉⴷ ⵉⵏⵓ ⴼⵍⵅⵜ ⵖ ⵓⵙⴳⴰ ⵢⴰ, ⵍⵎⵓⵀⵉⵎ ⴰⴼⵍⵍⴰⵡⵏ ⵉⵅⵍⴼ ⵔⴱⴱⵉ, ⵡⴰⵅⵅⴰ ⴷⴰⵔⵓⵏ ⵓⵔ ⵏⵛⵛⵉ ⵡⴰⵍⵓ!ⴰⵔ ⵜⴼⵜⵓⵜ ⴰⵜⵔⵓⵀⵜ ⴰⴷⵡⵡⴰⵔ ⴰⴷ ⵉⵖ ⵀⵍⵍⵉ ⴳⵉⵙ ⵜⵊⵊⵏⵊⵎⵜ ⵓⵅⵙⴰⵏ ⵏⴽ ⴰⵜⵜⵓ ⵜⵏⵏⵉⵜ ⵉ ⵀⵜⵜⴰ ⵢⴰⵏ. ⴰⵙⵙⴰⵍⵎⵓ ⵄⴰⵍⴰⵢⴽⵓⵎ. ⵡⴰ ⵄⴰⵍⴰⵢⴽⵓⵎ ⵙⵙⴰⵍⴰⵎ.ⵎⴰⵢⴳⴰ ⵓⵔⴳⴰⵣ ⴰⴷ ⴰ ⵔⵔⴰⵢⵙ? ⵡⵡⴰⴷ ⴰ ⵙⵉⴷⵉ ⵛⴰⵏⵜⴰⵔⵓⵛ, ⵉⴳⴰ ⵢⴰⵏ ⵖ ⵡⵉⵍⵍⵉ ⵉⵜⵃⴰⵙⴰⴱⵏ ⵎⵉⴷⵏ, ⵉⴷ ⴱⵓ ⵍⵉⵃⵙⴰ.ⵎⴰⵅ ⵉⵣ ⵓⵔ ⵉⵢⵢⵉ ⴰⴽ ⵉⵃⴰⵙⴱ ⵏⴽⴽⵉ? ⴽⵉⵢⵢⵉ ⵀⴰⵜⵉ ⵔⴰⴽ ⵉⵃⴰⵙⴱ ⵔⴱⴱⵉ. ⵖⴰⵔ ⵉⵙ ⴰⵜⵜⵉⵏⵉⵎ ⵉⵅⵛⵏ ⴰⵡⴷⴷⵉ, ⵉⵎⵎⴰ ⵓ ⵔⴰⴽ ⵉⵀⵔⵛ! ⵀⴰⵜⵉ ⴰⵡⴰ ⵎⴰⵛⵉ ⵡⵡⴰⴷ ⴰⵙ ⴰⴽ ⵏⵏⴰ ⵉⵅⵛⵏ, ⵡⵡⴰⴷ ⵣⵣⵉⵏ ⵏ ⵔⴱⴱⵉ ⴰⵢⴳⴰ ⴰⵙⵜⴰⵖⴼⵉⵔⵓ ⵍⵍⴰⵀ ⵉⵄⴰⴷⵉⵎ! ⵙⵉⴷⵉ ⵛⴰⵏⵜⴰⵔⵓⵛ ⴰ ⴳⴳⵉⴽ ⵓⵔ ⵙⴽⴷⵓⴱⵏ ⵡⵉⵉ ⵏⴽⴽⵉ ⵀⴰⵜⵉ ⵍⵄⴰⴷⵍ ⴰⴷ ⴳⵉⵖ, ⵉⵖⵔⴰⵢⵢⵉ ⵙⵉ ⵎⵄⵃⵎⵎⴰⴷ ⵉⵔⴰ ⴰⵢ ⵙⵜⵉⵀⵍ ⵉⵍⵍⵉⵙ! ⵀⴰⴰⴽⴽⴰⴽ,ⵡⴰ ⵀⴰⵜⵉ ⵏⴽⴽⵉⵏ ⴰⵢⴳⴰⵏ ⵙⵉ ⵎⵄⵀⴰⵎⵎⴰⴷ, ⵎⴰⵅ ⴰⵢⵍⵍⵉⵖ ⵓⵔⵉⵢⵢⵉ ⵜⵉⵏ ⵜⴰⵡⵉⵎ ⴰⵡⵉ? ⵏⴽⵏⵉ ⵓⵔ ⴰⵖ ⵉⵏⵏⴰ ⵉⴳⴰ ⵍⵄⴰⴷⵍ ⵉⵏⵏⴰⵖ ⵉⴷⴰ ⵣⵖ ⵉⴷ ⴱⵓ ⵍⵉⵃⵙⴰ. ⵉⴷ ⴱⵓ ⵍⵉⵃⵙⴰ ⵔⴰ ⵢⴰⵛⴽⵉ ⴰⵔ ⴰⴷⵓⵡⵡⴰⵔ ⵢⵓⵔⵔⵉⴷ ⵓⵔ ⵔⴰⵢⵃⴰⵙⴱ ⵃⵜⵜⴰ ⵢⴰⵏ? ⵢⴰⵀ ⴰⵛⴽⵓ ⵢⵓⴼⴰ ⴷ ⵖⴰⵔ ⵉⵎⵄⴷⴰⵔ, ⵉⵎⵄⴷⴰⵔ ⵓⵔ ⴰⵜⵏ ⵜⵃⴰⵙⴰⴱⵏ! ⵙⵙⵉ ⵍⵄⴰⴷⵍ, ⵢⴰⵍⵍⴰⵀ ⵜⴰⴱⵄⴰⵢⵢⵉ."
audio9.webm,"ⴰⵡⴰ ⵉⵊⵊⴰ ⵄⵍⴰ ⵙⵍⵎⴰ ⵉ ⵉⵍⵍⵉⵎ. ⴰⴽⵎ ⵉⵙⵍⵍⵎ ⵔⴱⴱⵉ ⴰ ⵓⵍⵜⵎⴰ ⵜⵎⴰⵢⵜⵎⴰⵙ. ⴰⵡⴰ ⵉⴽⵜⴱⴰⵙ ⵙⵓⵍ ⵔⴱⴱⵉ ⵍⵄⵎⵔ ⵍⵊⴷⵉⴷ, ⵀⴰⵏ ⵓⵔ ⴷ ⴰⴽ ⵉⵡⵉⵖ ⵏⴽⴽⵉ ⵍⴰⵅⴱⴰⵔ ⵓⵍⴰ ⵉⵍⴰ ⴽⵔⴰ ⵖ ⵓⴳⴰⵢⵢⵓⵏⵓ, ⴰⵢⵍⵍⵉⵖ ⵙⵍⵍⴰⵖ ⵉ ⵜⴰⴷⵊⴰⵔⵉⵏ ⵖ ⵓⴳⵎⵎⴰⴷ ⴰⵏ ⵊⵎⵄⴰⵏ ⴼ ⵉⵍⵍⵉ. ⵖⴰⵔ ⴰⵊⵊⵓⵜⵏⵜ ⴰⴷ ⵊⵎⵄⴰⵏⵜ, ⵉⵡⴰ ⵉⵙⵇⵙⴰ ⴳⵉⵎ ⵍⵅⵉⵔ ⴰ ⵓⵍⵜⵎⴰ! ⵉⵡⴰ ⵎⴰ ⵔⴰ ⵏⵙⴽⵔ? ⵖⴰⵢⵍⵍⵉ ⴼⵍⵍⴰⵖ ⵉⵜⵢⴰⵔⴰⵏ ⵏⵜⵜⴰⵏ ⴰⵢⴰ, ⴰ ⵉⵙⵔⵅⵓ ⵔⴱⴱⵉ ⵎⴰ ⵓⵔⵓ. ⴰⵡⴰ ⵎⴰⵏⵣⴰⵜ ⵖⵉⵍⴰ ⵀⴰⵜⵉ ⵔⵉⵖ ⴰⵙⵜ ⵣⵔⵖ ⵔⵉⵖ ⴰⴷ ⴼⵜⵓⵖ. ⵀⴰⵜⵜⵉⵏ ⴰ ⵃⵏⵏⴰ ⵜⵇⵏ ⴼⵍⵍⴰⵙ ⴰⵃⴰⵏⵓ ⵜⴽⵛⵎ ⵜⴰⴳⵉ ⴰⴷ ⵜⴼⴼⵓⵖ.ⵉⵀ ⵜⵙⵏⵜ ⵎⴰ ⵜⵙⴽⴰⵔⵜ, ⴰⴳⴳⵯⵏ ⵙⵉⵙ ⴰ ⵓⵔⵉⵎⵉⵍ ⵜⵙⴽⵔ ⵙ ⵓⴷⵎⵏⵎ ⴽⵎⵎⵉ ⵜⴼⴼⴰⵖ. ⵉⵢⵢⵉⵀ ⵡⴰⵅⴰ.ⴰⵍⴰⵜⵉⴼ ⴱⵃⵔⴰ ⵖⵓⵔ ⵏⵜⵀⵏⵏⴰ ⵖ ⵜⵓⵙⴱⵉⵃⵜ ⴰⵏ ⵍⵍⵉ ⵉⴳⴰⵏ ⵓⵍⵜⵎⴰ. ⵀⵀ ⵉⵏⵏⴰ ⴷⴰⵖ ⵓⵍⵜⵎⴰ! ⴰⴽ ⴰⵡⴰ ⵉⵀⴷⵓ ⵔⴱⴱⵉ ⴰ ⴱⵔⵉⴽ ⵀⴰⵏ ⵓⵍⵜⵎⴰⴽ ⴰⵢⴰⵏ, ⵓⵍⵜⵎⴰⴽ ⵃⵏⵏⴰⴽ! ⵍⵍⵉ ⴷⴷⴰ ⵜⵛⵔⴽⵜ ⵢⴰⵜ ⵜⵉⴱⴱⵉⵜ, ⵀⴰⵏ ⵍⵀⵇⵇⵏⵙ ⴰⵢⴰⵏ ⵉⵅⴰⵙⵙⴰ ⴷⴰⵙ ⵜⵉ ⵜⴽⴼⵜ. ⵀⴰⵏ ⴰⵜⴰ ⵓⵔ ⴷⴰⵔⵏⵖ ⵜⴰⵛⴽⵉ ⴰⵢⵍⵍⵉⵖ ⵜⴽⵙ ⵍⵄⴰⵔⴰⴷⴰ ⵏⵖ ⵖ ⵓⴷⵓⵡⴰⵔ, ⴽⵓⵍⵍⵓ ⵎⴰ ⵜⵎⵎⴰⵇⵇⴰⵔ ⵜⵏⵏⴰⵢⴰⵙ ⵀⴰⵏ ⴳⵎⴰ ⵓⵔⵉⵢⵢⵉ ⵉⴼⴼⵉ ⵍⵃⴰⵇ ⵉⵏⵓ. ⴰⵡⴰ ⵎⴰⵅ ⴰⴷ ⴰⵙ ⵓⵔ ⵜⴽⵜ ⴰⵢⴷⴰⵏⵙ?" 
audio10.webm,"ⴰⵀⵢⴰⵜⴰ ⴽⵎⵎⵉ ⵀⴰⵏ ⵜⵅⵛⵏⴰⵎ ⵍⵃⴰⵍⵜ ⴰⵏ, ⵔⴰ ⴷⴷⵉ ⵜⴳⵯⵣⵜ ⴰⴷⴰⵎ ⴼⴽⴰⵖ ⴷⴰⵖ ⵢⴰⵏ ⵙⵉⵏ ⵉⵎⴷⵍⴰⵏ ⵏⵉⵖⴷ ⴰⵏ ⵙⵉⵎ ⵖⵍⵉⵖ? ⵡⴰⵀ ⵉⵣⴷⵉⵅⵜ ⵃⵜⵜⴰ ⵉⵖ ⵏⵓⵣⵏ ⵉⵔⴳⴰⵣⵏ ⵙ ⵍⵅⴷⵎⵜ ⴰⵔ ⵜⵏ ⵏⵜⴼⴰⵔ ⴰⵔⴽⵉⵖ ⵜⵏ ⵏⵙⵍⴽⵎ ⵏⵔⴰⵔⵜⵏ ⴷⴰⵖ ⵣⵓⵏⴷ ⵉⵖ ⵏⴰⵡⵉ ⵜⴰⵣⵣⴰⵏⵉⵏ ⵙ ⵍⵎⴷⵔⴰⵙⴰ. ⴰⵡⴰ ⵀⴰ ⴳⴰⵔ ⵍⵃⴰⵍⵜ! ⵡⴰⵅⴰ ⵔⴰ ⴽⵎ ⵓⴽⴰⵏ ⴷⴰⵖ ⵎⵎⴰⴳⴳⴰⵔⵖ ⵖ ⵍⵃⵎⵎⴰⵎ ⵏⵖⴷ ⴷⴰⵔ ⴱⵓ ⵜⵃⴰⵏⵓⵜ."
